purchase_order_id,po_line_no,po_date,po_status,po_total_amount,supplier_id,supplier_name,supplier_contact,supplier_phone,supplier_region,supplier_category,product_id,product_name,product_category,unit,unit_price,qty,line_amount,line_eta_date,line_received_qty,buyer,warehouse_code
PO-20250801-001,1,2025-08-01,received,18420.00,SUP-001,深圳市华联电子科技有限公司,张伟华,13800138001,华南,electronics,P-1001,LED 节能灯泡 9W E27,electronics,个,4.50,600,2700.00,2025-08-08,600,王芳,GZ-DC-01
PO-20250801-001,2,2025-08-01,received,18420.00,SUP-001,深圳市华联电子科技有限公司,张伟华,13800138001,华南,electronics,P-1002,LED 节能灯泡 12W E27,electronics,个,5.80,500,2900.00,2025-08-08,500,王芳,GZ-DC-01
PO-20250801-001,3,2025-08-01,received,18420.00,SUP-001,深圳市华联电子科技有限公司,张伟华,13800138001,华南,electronics,P-1032,LED 灯珠 2835 0.2W,electronics,万个,120.00,8,960.00,2025-08-15,8,王芳,GZ-DC-01
PO-20250803-002,1,2025-08-03,received,56800.00,SUP003,佛山顺德永盛包装制品厂,陈志强,,华南,packaging,P-1004,防潮牛皮纸包装箱 30cm,packaging,个,1.20,2000,2400.00,2025-08-08,2000,王芳,GZ-DC-01
PO-20250803-002,2,2025-08-03,received,56800.00,SUP003,佛山顺德永盛包装制品厂,陈志强,,华南,packaging,P-1005,防潮牛皮纸包装箱 50cm,packaging,个,2.80,1000,2800.00,2025-08-08,1000,王芳,GZ-DC-01
PO-20250805-003,1,2025-08-05,received,9450.00,SUP-007,宁波港盛国际货运代理有限公司,孙立军,13400134007,华东,logistics,P-1012,-18℃ 冷链厢式货车 4.2 米,logistics,趟,820.00,5,4100.00,2025-08-10,5,李军,SH-DC-02
PO-20250805-003,2,2025-08-05,received,9450.00,SUP-007,宁波港盛国际货运代理有限公司,孙立军,13400134007,华东,logistics,P-1011,冷链温控记录仪 4G 联网,equipment,台,980.00,5,4900.00,2025-08-12,5,李军,SH-DC-02
PO-20250807-004,1,2025-08-07,confirmed,158000.00,SUP-0014,武汉长江冷链设备有限公司,徐俊,15900159013,华中,equipment,P-1015,液氮速冻隧道设备,equipment,套,158000.00,1,158000.00,2025-09-15,0,李军,WH-DC-03
PO-20250810-005,1,2025-08-10,received,3280.00,SUP006,杭州华诺纺织有限公司,赵建国,13500135006,华东,textile,P-1008,涤纶短纤 1.4D 38mm,textile,千克,12.50,200,2500.00,2025-08-15,200,王芳,SH-DC-02
PO-20250810-005,2,2025-08-10,received,3280.00,SUP006,杭州华诺纺织有限公司,赵建国,13500135006,华东,textile,P-1009,纯棉梭织布 21S,textile,米,18.00,40,720.00,2025-08-15,40,王芳,SH-DC-02
PO-20250812-006,1,2025-08-12,cancelled,0.00,SUP-008,苏州精工五金配件有限公司,周慧敏,13300133008,华东,hardware,P-1010,五金铰链 不锈钢 4 寸,hardware,个,3.60,0,0.00,,0,李军,SH-DC-02
PO-20250814-007,1,2025-08-14,received,12680.00,SUP-004,东莞恒辉塑胶原料有限公司,王晓东,13700137004,华南,raw_material,P-1007,聚乙烯 PE 原料颗粒 工业级,raw_material,千克,8.20,800,6560.00,2025-08-20,800,王芳,GZ-DC-01
PO-20250814-007,2,2025-08-14,received,12680.00,SUP-004,东莞恒辉塑胶原料有限公司,王晓东,13700137004,华南,raw_material,P-1006,塑料托盘 1200x1000mm,packaging,块,68.00,80,5440.00,2025-08-20,80,王芳,GZ-DC-01
PO-20250816-008,1,2025-08-16,received,5420.00,SUP-015,合肥科晶光电材料有限公司,范明辉,15700157015,华中,raw_material,P-1020,光学级 K9 玻璃基板,raw_material,片,420.00,12,5040.00,2025-08-25,12,李军,WH-DC-03
